Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  885.8   1086    6.2    3.6     84   5.61    219    9.5  289.2  305.3  290.1
  885.3   1090    6.1    3.7     84   5.63    219    9.5  289.1  305.4  290.1
  884.8   1095    6.1    3.7     85   5.64    219    9.6  289.1  305.4  290.1
  884.3   1099    6.0    3.6     85   5.61    219    9.6  289.1  305.3  290.1
  883.9   1104    6.0    3.4     84   5.55    219    9.7  289.2  305.2  290.1
  883.4   1108    6.0    3.4     83   5.52    219    9.7  289.2  305.1  290.2
  882.9   1112    5.9    3.4     84   5.54    219    9.8  289.2  305.2  290.2
  882.5   1116    5.9    3.4     84   5.53    220    9.8  289.2  305.1  290.1
  882.0   1120    5.9    3.2     83   5.48    220    9.9  289.2  305.0  290.1
  881.6   1124    5.8    3.1     83   5.45    220    9.9  289.2  304.9  290.1
  881.1   1129    5.8    3.0     82   5.41    220   10.0  289.2  304.8  290.2
  880.7   1133    5.8    3.0     82   5.40    220   10.0  289.2  304.8  290.2
  880.2   1137    5.8    2.9     82   5.36    220   10.1  289.3  304.7  290.2
  879.8   1141    5.7    2.8     81   5.32    220   10.1  289.3  304.6  290.2
  879.3   1146    5.7    2.8     82   5.32    220   10.1  289.3  304.6  290.2
  878.8   1150    5.6    2.8     82   5.32    220   10.2  289.3  304.6  290.2
  878.3   1155    5.6    2.6     81   5.25    220   10.2  289.3  304.4  290.2
  877.8   1160    5.6    2.2     79   5.13    220   10.2  289.3  304.1  290.2
  877.3   1164    5.6    1.8     76   4.97    220   10.3  289.4  303.8  290.2
  876.8   1169    5.6    1.6     75   4.89    220   10.3  289.4  303.6  290.3
  876.4   1173    5.6    1.5     75   4.89    220   10.3  289.4  303.6  290.3
  875.9   1178    5.5    1.5     75   4.88    220   10.3  289.4  303.6  290.3
  875.4   1182    5.5    1.6     76   4.90    220   10.3  289.4  303.7  290.3
  875.0   1186    5.4    1.6     76   4.92    220   10.3  289.4  303.7  290.3
  874.5   1191    5.4    1.6     76   4.91    220   10.4  289.4  303.7  290.3
  874.0   1195    5.4    1.5     76   4.88    220   10.4  289.4  303.6  290.3
  873.6   1199    5.3    1.4     76   4.84    220   10.4  289.5  303.5  290.3
  873.1   1204    5.3    1.3     75   4.81    220   10.4  289.5  303.4  290.3
  872.6   1208    5.3    1.1     75   4.77    219   10.4  289.5  303.3  290.3
  872.1   1213    5.3    1.0     74   4.71    219   10.4  289.5  303.2  290.3
  871.6   1218    5.2    0.8     73   4.65    219   10.4  289.5  303.1  290.4
